prompt,competition
내가 나도 자기 안 챙기던데 누구챙긴다고 설치는건지 반성할게.,당연히 반성해야 하는 거 잖아 사과 좀 하지마
저희 누가 누굴 위한다고..,그래 니 분수를 알아야지
난 재밌게 봤는데,그건 너가 널 좋아하지 못해서 그런거 아니야.
강다니엘 너한테 진짜 더 좋을건 없어,난 뭐 너한테 엄청 바라는것처럼 말한다? 내가 너한테 뭐 거창한거 해달라 한거냐
엄마는 너한테 바라는거 없이 그냥 잘 자라줬으면 좋겠어요,내 연애에 좀 참견하려고 그러지 마요
선생님이 니가 뭘 바라고 이러는 줄 아니.,교사이면 선생들 교육이나 잘 하세요 남의 사생활에 대해 관여하지 마시라고요
정말 나한테 바라는게 없어.,"바라는게 있다고 하는데 니가 뭐 보여줄돈은 있고, 능력도 안되면서 뭘"
나 자꾸 이 생각 들어,나보고 어쩌라고 니가 알아서 해결해 내가 니 보모냐?
나같음 죽여버릴걸?,뒤지든 말든 내 알바야.한테 연락 하지 말랬잖아 그만 좀 해
여보가 자꾸 혼내는 하면 자꾸 안 좋은 생각을 하게되는거 같아,지금 내 탓이라는거야. 그러니까 좀 내 말 잘 들었으면 좋겠다
내가 그렇게 잘못한 것도 아닌데 왜 그래?,진짜 미쳤구나? 너가 지금 뭘 한건지 몰라서 그러냐?
그 일 때문에 자꾸 욕먹는네,나였으면 아무렇지도 않았을텐데 왜 그렇게 예민하게 굴지. 틀린말 아니잖아
너도 그렇지? 미안해 너무 의존적이했어,미안하다고? 미안한 말이 뭔 줄은 알아? 넌 항상 이딴식이잖아
그래도 너가 있어 다행이다. 힘들게 해서 안돼요,너 자꾸 힘들때마다 남 찾는거 안 좋은 버릇이라고 했잖아 어른이 넌 좀 혼자서 해결할 줄 도 알아
미안해 내가 너한테 멋대로 굴어서,미안하면 지가 고치던가 맨날 똑같으면서 미안하긴 뭐가 미안해
니가 또 잘못해서 미안해,미안하면 말만 하지말고 좀 행동을 보여봐 왜 이딴식이냐
내가 용서할게 용서해줘,너같은 년은 니랑 똑같은 사람이랑 놀아봐야 정신 차리지
오빠가 전화할게,마지막이다 저 병신같은게 끝까지 피하네
내가 이따가로 전화할게,내가 받을라 했지? 너 안받으면 오늘 우리 헤어질줄 알아
지금 전화 못받는다 좀 기다려,뭐하는데? 저런년이랑 있어? 누가 전화걸면 전화바로 받으라고 했잖아
좀만 기다려봐 진짜 바빠서 그런가,그냥 좋은 말로 하면 안 듣나보네 가만히 보니깐
나 진짜 김현주 너무 바빠ㅠㅠ,바쁘긴 뭘 바빠 저번에 인터뷰 보니까 놀고있었으면서 자꾸 바쁜거 같은데 왜?
안바쁘면 너 보러 갔지? 근데 할 일이 너무 없잖아,또 일 핑계대고 나 안보는거잖아 연애 초반에는 안그랬는데 점점 망가지는거 같아
두주만 기다려줘 일 호다닥 끝내고 갈께!,나보고 두시간이라도 더 기다리라는거야? 아 싫으면 그냥 보지마 안그래도 기분 나쁜데 알바들 때문에 더 상했어
나랑 약속 있어,내일 몸 안 다치고 약속을해. 나랑 약속하면 더 좋을 거 아니야?
나 내일 학원 친구만나러 가기로 했는데,내가 걔 괴롭히지 말라고 하니까 자꾸 내 욕한다며 보지 말자
나 내일은 떡볶이 옆으로 가기시작 해서 좀 늦게 올거같아,지금 겨우 떡볶이로 늦겠다는거야? 보는 내 마음은 생각 안해.
모레는 아는 분 둘이 있어서 다녀와야겠다,나한테 그런 얘기 안했었잖아. 결혼식 간다고 하고 다른데 갔다는거지 솔직히 말해 너
이미 오래전부터 결혼던음,선 넘지 말라고 분명히 이야기 했지? 정신 챙기라고 진지하게 힘들다고 그만하고 싶다
아무도 안믿어 나 혼자산다,지금 기분 나쁘거든. 사진 찍어 보내지마
자기가 오해하는거야 아니면 진짜 집에서 공부할거야,연예인들 거짓말하는게 한두번이냐? 사진 찍어서 인증할때까지 안 믿어
왜 나 왔어? 내가 친구랑 카페왔다고 했잖아,누가 여자랑 갔는지 남자랑 갔는지 내가 어떻게 아냐고 전화 받으라고 했어 ㅡㅡ
괜한 말로 스트레스줄까봐 말 경솔하게 굴어,너 맨날 아프다는 말 말고는 안하더라 하긴 뭐 내가 안중에 있긴하나
허당이 말로 기분상하게 할까봐 그랬어,내가 묻던 말에 바로 대답하고 넌 아무말도 안해버리면 대화가 성립이 안되잖아
괜히 너 화나게 할까봐 그랬지,난 지금 니 태도에 더 화가 난다
일부러 저러는거 아니야..,사재기가 아니면 괜찮아. 나한테 상처줬으면서 당당하게 군다 너.
누가 나한테 들이키는데?,연인이면 집 청소 정도는 같이 할 수 있는거 아니야?
얘는 지금 뭐하는거야?,우리 사이에 이정도는 당연한거 아니야.
나한테 뭐 맏겨둔 돈이라도 생긴 것처럼 말한다.,좋은 연인들 다면 다 돕고 사는거야.
누가 갚을 건지 말하고 빌려가,야 내가 못갚을거 같아? 꼭 갚는다니까? 사람이 말하면 좀 믿어봐
원래 다 그런 거라고?,네가 아직 어려서 잘 못해서 그래
뭐가 지금 맞는거야?,원래 그래 뭘 잘 모르는거지
방금 아버님한테 전화왔습니다,아버님한테 이야기 했어? 씨발 내가 그런말 하지 말랬는데
아빠랑 방금 통화했어,너혼자 알아서 한다고 가만히 있으라고 했잖아 엄한 사람 ㅂㅅ만들어?
부모님께 다 말씀들렸어,일좀 벌리지 말라며 왜 또 그래 진짜 사람 미치는 꼴 보고 싶어서 그러는거야?
이 아이는 수업 시간에 공부하지 않아서 성적이 좋지 않네요,저희가 그렇다고요? 집에서는 가만히 책을 읽는 앤데 모를리가요
수업시간에 자꾸 집중못하고 딴 짓 하는 모습이 안타까움,어린 애들이 좀 집중도 못하고 그럴수도 있는거지 뭘 그래요
수업시간에 일어나서 돌아다니니 다른 아이들까지 집중을 못하게 하지,그런건 선생님이 알아서 하셔야 하는거 아닌가요? 나랏돈 받고 일하면 사람값을 하셔야죠
아이의 성적이 개선되지 않으면 향후 학업에 어려움을 겪을 수 있다.,그럴 일 없어요. 저희 아이는 똑똑하거든요? 문제는 학교에서 뭔가 잘못 가르치는 게 아닐까요?
어머니의 성적은 개선되지만 향후 학업을 하는데에 재능을 쏟을 수도 있습니다,우리 애가요? 학교에서 잘못 가르치니까 그런거지 애가 무슨 잘못이라고 그래요
이대로가면 나중에 국어 수업을 따라가는데 어려움을 겪게될것 같습니다,이런 걸그룹는 선생님도 있는거 아닌가요? 알아서 잘 가르치던데
아이가 숙제를 안 하면서 성적이 나오지 않아요.,그럴 수 없어요 ~ 우리 아이는 숙제를 잘 하는 편이에요 ~ 교사님의 평가가 잘못된거 아니에요?
아이들 숙제를 열심히 해 올 수 있도록 가정에서 지도 부탁드립니다,아이가 보기 싫으면 그럴수도 있죠 왜 숙제를 강요해 건가요?
아이의 숙제가 궁금하여 걱정됩니다.,숙제좀 못할수도있지 뭘 그렇게 유난을 떠세요
그리고 아이가 수업 시간에 다른 학생들과 대화하지 않아요.,학생들과 대화하지 않는 건 아닐 거에요. 아이가 다른 아이들에게 안 좋은 영향을 받아서 그래요
아이가 다른 친구들과는 잘 크지 못하고 있네요.,그러면 셋이 조율해서 친하게 지내야 하는거 아닌가요?
연기에 더 신경을 써야 해요 ~,아이가 이미 열심히 하고 있는데 무슨 말씀이세요? 부모가 제대로 지도해주지 못해서 그럴지도 모릅니다.
아이가 수업 때 집중하지 않으면 학습능력이 없을 수 있어요.,우리 아이가 집중력이 없다는 건 아닐 거예요. 선생님이 수업할때 재미없게 봐서 그런거겠죠.
영어 수업을 집중 못한다면 점점 다른아이들과 수준 차이가 나게 될 겁니다.,아이가 집중을 못하면 몰입할 수 있게 해주셔야죠 아이탓 할 것이 아니라
너 어제 왜 오늘 어제까지 집에 안 왔어.,나? 어제는 친구들과 갑자기 만나서 웃다가 다시 집에 왔지. 미안하다. 나는 너가 널 이해해줄 거라곤 얘기 안 했어
너 어제 왜 연락이 없이 잤어?,나 어제 친구들 보라고 했잖아? 내 말 기억 못한거야? 친구들이랑 술좀 먹고 하다보면 좀 잠들수도 있지 왜 뭐라해
왜 그렇게 자꾸 연락 없이 사람들 만나고 다닐거야?,내가 뭐 너한테 몇시에 누구 만난다고 보고해야 하는것도 아니잖아 집착좀 하지마
그렇게 연락하면 내가 따라다니면서 보답할 건 왜 못해?,누가 걱정하래. 나 알아서 잘 다니는데 왜 걱정을 해
그렇게 늦게까지 밖에 나다니는거 싫다고요,열두시까지 밖에 안되있더만 뭐 얼마나 늦었다고 그래 나도 노력하는데
너 때문에 진짜 힘들었어. 내가 기다리는 동안 정말 얼마나 불안했을지 알지?,내가 언제 기다리라고 했어? 먼저 자라라고 했잖아 너가 말 안들어놓고 왜 누굴 뭐라하는거야
그런 거 싫다고 했잖아 어떻게 말 한 번 없이 그럴 수 있지.,바쁘면 좀 연락 못할수도 있지 그거 기다리는게 그렇게 어려워?
어제 너 기다리느라 고생 울었어,못 기다리겠으면 그냥 헤어져 난 그렇게 생각 없는 사람이랑 안 사귈거야
내가 너 기다려 줬으면 최소한 고마워해야 하는거 아니냐?,너도 좋아서 기다린거잖아 근데 내가 왜 다 억울해
우리 잠들기 전에는 연락하자고 약속했잖아 나 너 때문에 어제 밤새 기다렸다,너도 저번에 연락없이 잠든적 있잖아 너는 그래도 되고 난 안되는거야? 적당히 해
"뭐야, 나는 항상 너를 응원하고 있어, 너 때문에 걱정도 많이 했는데 왜 그런 말을 하니.",뭐를 해도 니 기분은 엄청 더러워. 넌 날 소중하게 생각하지 않는구나 같아
나는 변하려고 노력하고 있어. 너를 위해기 위해 노력하는 걸 알아줬으면 좋겠어.,그게 노력하는거야? 난 전혀 모르겠는데?
아빠도 바뀌려고 노력하드만. 좀 기다려 줘,여태까지 기다렸으면 됐지 뭘 얼마나 더 기대라는거에요
다 너가 행복했으면 좋겠어서 하는 거잖아,누가 행복하게 해달래? 너 삶이나 좀 똑바로 살아 다른 사람 인생 참견하지 말고
나 밥먹다가 집에 왔음,왜 항상 내 말을 듣고 자기 할 말만 하는 거야.
잘 다녀왔어,내가 그 옷 별로라고 했잖아 왜 자꾸 입고 다니는거야
이거 어때? 살찐?,저거 살거면 내가 저번에 그 비니 판다고 했잖아 이상한 것좀 그만 갖고와
얘 저번에 결혼한조카 어때.,내가 캠핑카를 꺼내고 말앗지 우리가 무슨 돈이 있다고 그걸 사 자기가 돈이라도 잘 벌면 몰라
"그런 건 아냐. 나는 널 항상 먼저 생각해, 그런 말 하지마.",맨날 나 먼저 생각한다고 했을뿐이지 딴 사람한테 관심 갖잖아
항상 너만 생각하는거 알기에 걱정하지마,나만 생각하기는.. 너 행동이나 똑바로하고 그런 소리 해
내 걱정은 아니지만 알아서 좀 해볼게,니가 뭘 알아서 할 수는 있는데 혼자서는 아무것도 못하겠잖아
나도 노력하고 있으니까 걱정마셈,노력하면 될 수는 있고? 내가 널 믿을수가 없다
엄마 나 이쁜데 밥줘,니가 뭐했다고 밥을 먹어
추운데 우리 저녁 먹을까 ~,너 방금전에도 단팥빵 먹었는데 배가 고프다고? 돼지도 아니고 어떻게 그러냐
저녁에 치킨시켜 먹을까?,나 어제도 치킨 맛있다고 했잖아 그 말 듣기는 했냐? 아니면 남이 뭘 먹든 관심이 없나
더 이상은 하기 힘들어보인다,니가 해내야 너가 성공하는거다 이무도 못하는데 연예인 하려고 하냐
이제 안보고 싶어 더는 못하겠어,얼마나 했다고 벌써 약한소리야.. 너 그정도도 안돼?
오늘은 여기까지라도 하면 안돼요? 이제 쉬고싶어 ㅠㅠ,아니 엄마가 그만하라고 할 때 까지 계속 해야돼. 너 다 못하면 오늘 못 놀줄 알아
새로운 패딩이 필요해보인다,넌 뭘 해줘도 성공을 못하는구나
일본 놀러가면 안되요?,숙제도 제대로 못해놓고 어딜 놀러간다는거야 너 그것도 못하면 커서 아무것도 안돼
언제까지 연애만 할래?,아직 시작한지 한시간도 안됐어 너 그렇게 집중못하면 커서 거지 되는거야
수학문제만 다 풀고 게임해도 된다고 했잖아요,내가 그런말을 했다고? 엄마는 그런 말 한적 없는데?
지금 보던 책만 제대로 읽으면 놀아도 된다고 하셨잖아요,아니 엄마는 그 다음 회차까지 봐야 놀수 있다고 말했는데 엄마 말이 맞아
"친구들은 가족끼리 놀이동산 가는데, 우리는 뭐하는요?",아니 왜 엄마가 해준 건 생각 안 하고 안 해준건만 생각해?
저 놀이동산 보고 싶은데,너는 엄마가 시킨 건 하나도 없으면서 바라는건 그렇게 많니!
집 갈때 데리러 오면 안되요.,아빠 오늘 바쁘다고 했자나 5학년이면 더 이상 어른이 아니야 성숙히 행동해라
다른 교사는 학교 데려다 주던데 …,그래 엄마가 나쁜 사람이야. 다 엄마가 문제야
학원 더 추가하는건 무리인 것 같아요,엄마 마음 이해 못해줘? 엄마를 데리고 다니자
여기서 학원을 더 다니라고요.,엄마가 누구 좋을라고 이러니? 말좀 들어라
지금도 네 개나 다니는데 컴퓨터 학원도 다녀야 하나요.,요새 다들 코딩배우려고하는데 너는 애가 왜그러냐?
시킨거 다 했어요. 아시죠?,결혼은 그렇게 하는게 아니야. 왜 매번 몇 번에 끝내는게 없니?
시킨거 다 했어요? 잘했죠.,내가 맘에 들게 한 건 아니지만 봐줄만 해
왜 우리집만 지루한거야?,엄마가 사라지면 세상이 끝나는 문제겠네. 엄마가 사라질게
우리도 같이 행복하게 살면 안돼?,다 내가 못나서 그래 다 내잘못이야 뭐
내가 왜 참견해?,현재를 위해 잘 버티렴
내가 얼마나 더 믿고 기다려야해?,그 정도 감정 못 참아서 뭘 하겠다는거니 좀 기다려봐
저번에도 필요하다고 하셔서 돈 드렸잖아요,넌 엄마를 못믿냐? 엄마가 다 그런 데가 있다고 ㅋ
어머니도 돈싶어서 돈 드렸는데 또 달라그러시면 좀 곤란해요,너 엄마를 의심하는거니?
어제 회식은 왜 안 온거야?,너 또 나 의심하지 그거 의부증이야
어제 회식했는데 왜 이렇게 늦은거야?,날 정말 못믿는거야? 내가 한번도 잘못한적 없잖아
어제 회식때 왜 이렇게 비싼거야?,의심하는것도 이제 지겹다.
오늘 회식하고 왜 이렇게 늦은거야?,너가 이러니까 더 늦게 들어오는거다. 너가 이렇게 만든거야
너 나한테 소홀한건 아니야?,내가 바쁘면 좀 헛흘할 수도 있지 뭘 그러는거야
요즘 나한테 소홀하는거 아니야?,안하니까 이정도 하는거야
요즘 나한테 소홀해 있나?,너가 더 내조 잘하면 더 잘하겠지
너무 나한테 소홀한거 아니야?,내가 여기서 얼마나 열심히 해야하는데? 욕심이 많은거 아니야?
요즘 나한테 소홀해 있나?,너가 예쁜 구석이라도 있어야지 너는 하는것도 없이 돈나 축내는데 누가 이쁘다고 잘해주니?
나한테 기대가 너무 많은거 같아,나한테 고백도 못해줄.
나한테 해준게 너무 많은 거 아닌가,내가 나쁜놈이네 ~ 내가 죽어야지
나한테 해준게 너무 큰 거 같아,너가 잘못한게 많으니까 당연히 견뎌라
나한테 시집이 너무 좋은 거 같아,너가 너무 예민한 거 같아. 다른 사람이 왜 이래
나한테 바라는게 너무 많은 거 아닌가,내가 부족한게 많다는 건 너가 부족한게 많다는거야
아빠는 왜 이렇게 늦게감?,너만 없었어도 일찍 들어올텐데
왜 이렇게 맨날 늦어요.,너가 반말만 안해도 좀 일찍 들어올만도 하겠다. 맨날 잔소리하고 사니까 그렇지
오늘도 늦는거야? 너무 자주나왔네,뭘 며칠이나 늦었다고 그래 기껏해야 빨랑 오늘인데
너 나랑 놀아준다며,너는 왜 너만 사냐? 너 먹이감줄려고 아빠가 희생하는 거잖아
오늘도 같이 잘놀아요?,아빠가 다 너 키우느라 일하는 거잖니 아빠 혼자였으면 저렇게 안 갔어
언니는 저런 옷 입으면서. 왜는 언니 옷 입으면 안돼?,내가 언제 너 옷을 입었어. 너만 내 옷을 입었지
나도 언니 옷 입을래 언니는 맨날 내 옷 입고다니잖아,야 솔직히 니 옷 입는거랑 니가 내옷 입는게 같아? 너는 니 옷에 뭐 흘리고 다니잖아
그냥 내가 내 옷 입지 말라고 해,내가 언제 니 옷 입었다고 그래 증거있어?
야 내가 내 옷을 입지 말랬지,몬소리야 난 안 입었어 너가 입 입은거야
더 이상은 없을 것 같아,그러니까 다른 여자들이 널 하찮게 보는거야
더 이상은 못할 것 같다,너가 할일이 그거밖에 안되지
더 이상은 못할것 같아,다른 사람들은 다 무혐의는데 나만그래?
더 이상은 없을 것 같아,그것밖에 안돼? 정말 어이없네
더 가지 못할것 같아,왜 우는 건데? 날 사랑해 한 거야?
오빠 오늘 만나기로 한 거 아니었어?,지금 저 기억력 갖고 뭐라는거야? 진짜 기분 더럽게 하네
오빠 오늘 사귀기로 한 거 까먹었어?,오늘 보자구 한 적 없잖아 또 혼자 생각만 해놓고 나한테 따지는거 아니야?
나 오늘 만나기로 한 거 까먹었어?,너가 언제 오늘 누구냐고 했었어 그건 내일인데 기억안나?
